Date,Pays,Chaîne,Nom de la série,Saison,Épisode,URL
10-10-2023,NBC,France,Found,1,02,https://www.spin-off.frepisode02-409591-10102023-saison1-Found.html
10-10-2023,TF1,Etats-Unis,Ici tout commence,4,32,https://www.spin-off.frepisode32-411039-10102023-saison4-Ici-tout-commence.html
11-10-2023,Disney+,Etats-Unis,4EVER,1,01,https://www.spin-off.frepisode01-411025-11102023-saison1-4EVER.html
11-10-2023,Disney+,Etats-Unis,4EVER,1,02,https://www.spin-off.frepisode02-411026-11102023-saison1-4EVER.html
11-10-2023,Disney+,Etats-Unis,4EVER,1,03,https://www.spin-off.frepisode03-411027-11102023-saison1-4EVER.html
11-10-2023,Disney+,Etats-Unis,4EVER,1,04,https://www.spin-off.frepisode04-411028-11102023-saison1-4EVER.html
11-10-2023,Disney+,Canada,4EVER,1,05,https://www.spin-off.frepisode05-411029-11102023-saison1-4EVER.html
11-10-2023,Noovo.ca,Canada,Aller simple,2,05,https://www.spin-off.frepisode05-410650-11102023-saison2-Aller-simple.html
11-10-2023,Noovo.ca,Etats-Unis,Aller simple,2,06,https://www.spin-off.frepisode06-411054-11102023-saison2-Aller-simple.html
11-10-2023,FX,Etats-Unis,American Horror Story,12,04,https://www.spin-off.frepisode04-410339-11102023-saison12-American-Horror-Story.html
11-10-2023,FXX,Canada,Archer (2009),14,08,https://www.spin-off.frepisode08-408905-11102023-saison14-Archer-(2009).html
11-10-2023,CBC,Canada,Bones of Crows,1,04,https://www.spin-off.frepisode04-410782-11102023-saison1-Bones-of-Crows.html
11-10-2023,CTV,Etats-Unis,Children Ruin Everything,3,03,https://www.spin-off.frepisode03-410932-11102023-saison3-Children-Ruin-Everything.html
11-10-2023,Syfy,Etats-Unis,Chucky,3,02,https://www.spin-off.frepisode02-409115-11102023-saison3-Chucky.html
11-10-2023,AMC,Etats-Unis,Cooper's Bar,2,01,https://www.spin-off.frepisode01-410431-11102023-saison2-Cooper-s-Bar.html
11-10-2023,AMC,France,Cooper's Bar,2,02,https://www.spin-off.frepisode02-411062-11102023-saison2-Cooper-s-Bar.html
11-10-2023,TF1,Etats-Unis,Demain nous appartient,7,38,https://www.spin-off.frepisode38-411035-11102023-saison7-Demain-nous-appartient.html
11-10-2023,Disney+,Etats-Unis,Hans River Police,1,09,https://www.spin-off.frepisode09-409974-11102023-saison1-Hans-River-Police.html
11-10-2023,Disney+,Canada,Hans River Police,1,10,https://www.spin-off.frepisode10-409975-11102023-saison1-Hans-River-Police.html
11-10-2023,Citytv,France,Hudson & Rex,6,02,https://www.spin-off.frepisode02-410259-11102023-saison6-Hudson--Rex.html
11-10-2023,TF1,Etats-Unis,Ici tout commence,4,33,https://www.spin-off.frepisode33-411040-11102023-saison4-Ici-tout-commence.html
11-10-2023,Apple TV+,Espagne,Invasion (2021),2,08,https://www.spin-off.frepisode08-407972-11102023-saison2-Invasion-(2021).html
